Word,Meaning
lonely,외로운
fantastic,환상적인
thirsty,목마른
tasty,맛있는
polite,정중한
flat,평평한
rude,무례한
tough,"거친, 강인한"
excellent,훌륭한
outstanding,탁월한
overweight,과체중의
forward,앞으로
perhaps,아마도
badly,"심하게, 나쁘게"
twice,"두 번, 두 배"
heaven,"하늘, 천국"
generation,세대
tenant,세입자
self,자아
helicopter,헬리콥터
maxim,격언
sand,모래
portrait,초상화
castle,성
fist,주먹
kindness,친절
darkness,어둠
concentration,"집중, 농도"
earthquake,지진
mystery,불가사의
weapon,무기
battle,"전투, 싸우다"
charity,자선단체
industry,산업
saying,속담
chat,잡담하다
issue,"문제, 발행하다"
puzzle,당혹하게 하다
signal,신호를 보내다
bloom,"꽃, 개화하다"
exchange,교환하다
advance,진보
swallow,"삼키다, 제비"
graduate,졸업하다
average,평균적인
predict,예측
official,공식적인
compare,비교하다
gray,"화색, 회색의"
complain,불평하다
prefer,선호하다
forgive,용서하다
relax,쉬다
determine,결정하다
reduce,줄이다
exist,존재하다
bury,묻다
holy,신성한
shoot,쏘다
upper,위쪽의
yell,고함을 지르다
central,중심의
powerful,강력한
normal,"정상적인, 평범한"
faithful,신뢰할만한
similar,비슷한
creative,창의적인
honest,정직한
deaf,귀가 먼
ashamed,부끄러운
electronic,전자의
anymore,"이제는, 더 이상"
nearly,거의
besides,"게다가, 더욱이"
happily,행복하게
ancestor,조상
birth,"출생, 탄생"
chairperson,의장
childhood,어린 시절
customer,"손님, 고객"
education,교육
astronaut,우주비행사
emotion,감정
dynasty,왕조
attitude,태도
furniture,가구
courage,용기
drug,약
condition,"상태, 조건"
greenhouse,온실
fever,열
harmony,조화
conversation,대화
dirt,먼지
adventure,모험
shot,주사
triangle,삼각형
curve,"휘어진, 굴곡진"
bulb,전구
stuff,"물건, 속을 채우다"
attack,공격하다
pack,"싸다, 포장하다"
cough,"기침, 기침하다"
spill,"쏟다, 엎지르다"
flow,흐르다
debate,"토론, 토론하다"
search,조사
whisper,속삭이다
original,"본래의, 참신한"
lay,"눕히다, ~에 두다"
opposite,정반대의
pardon,"용서, 용서하다"
jog,"뛰다, 달리다"
beg,간청
scan,조사하다
relate,관련시키다
describe,묘사하다
intelligent,지적인
freeze,얼다
eager,열망하는
remove,제거하다
disabled,불구의
single,단 하나의
homeless,집 없는
positive,긍정적인
harmful,해로운
ugly,추한
lifelong,평생에 걸친
northern,북쪽의
nervous,초조한
nearby,근처에
seldom,거의 ~아닌
upside down,거꾸로
somewhere,어딘가
downtown,시내
thief,도둑
manager,관리자
lifetime,일생
shore,해안
career,"직업, 경력"
sunrise,"일출, 해돋이"
fitness,"건강, 적당"
lighting,조명
economy,경제
wire,"배선, 배선하다"
fur,"모피, 털"
stage,무대
engine,엔진
zone,지역
balloon,풍선
height,"키, 높이"
border,"국경, 경계"
prediction,"예측, 예언"
disaster,재앙
marriage,결혼
forecast,예상
period,"기간, 마침표"
quarrel,"싸움, 다툼"
claim,주장하다
harm,해를 입히다
deal,거래
glue,접착제
limit,제한하다
regard,간주하다
tap into,활용하다
sink,가라앉다
spray,뿌리다
characteristic,"특성 있는, 특성"
weigh,무게가 나가다
professional,전문적인
pray,기도하다
encourage,격려하다
greet,인사하다
reflect,반사
chew,씹다
slide,미끄러지다
attract,끌어들이다
stretch,쭉 뻗다
overcome,극복하다
steal,훔치다
salty,짠
comic,"희극의, 만화의"
southern,남쪽의
anxious,"걱 정 하 는, 열 망 하 는"
curious,호기심이 있는
asleep,잠든
humorous,유머 있는
effective,효과적인
foolish,멍청한
due to,~때문에
greedy,탐욕스러운
actually,실제로
valuable,귀중한
rather,"오히려, 다소"
certainly,분명히
agent,"대리, 대행"
architect,건축가
politics,정치학
narrator,해설자
reality,현실
enemy,적
relationship,관계
throat,"목, 성대"
role,역할
illness,질병
theater,극장
weed,잡초
performance,"실적, 공연"
humor,유머
cast,던지다
volcano,화산
reservation,"예약, 보류"
kingdom,왕국
sightseeing,관광
attempt,시도하다
path,"길, 통로"
award,수상
source,"자원, 근원"
broadcast,방송하다
proof,증거
aid,돕다
term,"용어, 기간"
nod,끄덕이다
net,그물
escape,탈출하다
trust,신뢰하다
envy,부러워하다
crash,충돌하다
measure,측정하다
hatch,부화하다
chief,"우두머리, 주요한"
clap,박수치다
total,전체의
announce,"알리다, 고지하다"
worth,"가치, 가치 있는"
represent,"나 타 내 다, 대 표 하 다"
embarrass,난처하게 하다
devote,"바치다, 헌신하다"
erupt,붕괴하다
peaceful,평화로운
perform,"실 행 하 다, 공 연 하 다"
painful,고통스러운
publish,출판하다
sharp,날카로운
silent,조용한
responsible,책임감이 있는
silly,어리석은
lazy,게으른
scary,무서운
likely,가능성이 있는
sore,"아픈, 쑤시는"
completely,"완벽히, 완전히"
bitter,"쓰라린, 혹독한"
immediately,즉시
lately,"요즈음, 최근"
landscape,"풍경, 경치"
happiness,행복
construction,건설
freedom,자유
mood,"기분, 감정"
independence,"독립, 자립"
excitement,"흥분, 흥미"
imagination,"상상, 상상력"
complaint,불평
importance,중요
confidence,자신감
speech,"말, 연설"
invasion,"침입, 침략"
silence,"침묵, 고요"
container,"용기, 그릇"
invitation,초대
ash,재
exhibition,"전시, 전시회"
bar,"방망이, 빗장"
sculpture,조각
contact,접촉하다
region,"지방, 지역"
benefit,"이익, 이득"
position,"자세, 위치"
damage,"피해, 손해"
research,조사하다
supply,공급하다
aim,"목표, 겨냥하다"
demand,요구하다
moral,"도덕, 도덕적인"
lack,"부족, 부족하다"
extra,여분의
conflict,갈등
arrange,"배 열 하 다, 조 율 하 다"
spin,회전하다
advise,충고하다
scratch,"긁다, 할퀴다"
recommend,추천하다
suppose,가정하다
declare,선언하다
refer,참고하다
prove,증명하다
ruin,"파멸, 폐허"
injure,다치게 하다
rid,제거하다
connect,연결하다
tight,"꼭 끼는, 빈틈없는"
hug,끌어 안다
brilliant,"훌륭한, 총명한"
foggy,안개 낀
specific,구체적인
neat,"깔끔한, 단정한"
unusual,"유별난, 비범한"
loose,"느슨한, 헐거운"
negative,부정적인
endangered,위기에 처한
royal,왕족의
bound,"경계, 범위"
partly,부분적으로
recently,최근에
merchant,상인
peer,"동년배, 또래"
heritage,유산
pressure,압박
organization,"조직, 기관"
association,"연합, 제휴"
kindergarten,유치원
playground,"운동장, 놀이터"
management,"관리, 경영"
pond,연못
operation,"수술, 운영, 작동"
harbor,항구
mission,임무
frame,"틀, 구조, 골격"
means,"수단, 방법"
hammer,망치
payment,지불
expression,표현
merit,"가치, 장점"
quality,"질, 자질"
mirror,거울
movement,"움직임, 운동"
ladder,사다리
package,꾸러미
ingredient,재료
survey,조사하다
index,"지침, 색인, 검지"
panic,"당환, 공항"
behave,행동하다
sigh,한숨을 쉬다
compete,경쟁하다
rinse,헹구다
argue,"주 장 하 다, 논 쟁 하 다"
appeal,"매력, 호소하다"
release,"놓 아 주 다, 배 출 하 다"
sweep,"청소하다, 휩쓸다"
pretend,~인 체하다
consist,"구성되다, 있다"
conclude,결론짓다
unify,통합하다
observe,"관 찰 하 다, 준 수 하 다"
depress,우울하게 하다
spicy,"짜릿한, 통쾌한"
blame,비난하다
terrific,"멋진, 빼어난"
smooth,부드러운
steady,꾸준한
wooden,나무의
spare,"아끼다, 여분의"
helpless,무기력한
unique,독특한
incredible,믿을 수 없는
unnecessary,불필요한
available,이용 가능한
ill,아픈
ancient,고대의
underground,"지하, 지하의"
recent,최근의
sincerely,진심으로
thus,"따라서, 이렇게"
wildlife,야생
dinosaur,공룡
sunset,"일몰, 해넘이"
ruler,"통치자, 지배자"
horizon,"지평선, 수평선"
admiral,"해군 장성, 제독"
steam,증기
liberty,자유
warmth,"온기, 따뜻함"
unification,"통합, 단일화"
statement,"진술, 문장"
trial,"시도, 재판"
response,반응
treatment,치료
task,과제
shelter,"은신처, 피난하다"
security,"안전, 보안"
orphanage,고아원
needle,바늘
item,물품
branch,"가지, 분점"
firewood,땔감
thread,실
dessert,"디저트, 후식"
row,"줄, 열"
range,범위
yawn,하품하다
rumor,소문
rub,문지르다
vehicle,"차량, 탈것, 수단"
wipe,닦다
sew,꿰매다
operate,"운 영 하 다, 수 술 하 다"
associate,"관련짓다, 연상하다"
contain,"담다, 포함하다"
identify,식별
preserve,"보 존 하 다, 예 약 하 다"
mention,언급하다
refuse,거절하다
establish,"세우다, 정하다"
remind,상기시키다
unite,결합하다
bother,괴롭히다
frustrate,좌절시키다
tiny,미세한
blond,금발의
curly,곱슬머리의
cheerful,유쾌한
rapid,빠른
careless,부주의한
shy,수줍은
dull,"무딘, 우둔한"
eastern,동쪽의
disgusting,역겨운
violent,폭력적인
willing,자발적인
worldwide,세계적인
golden,황금의
highly,매우
apart,떨어져서
lung,폐
passenger,승객
passport,여권
continent,대륙
photo,사진
port,항구
envelope,봉투
cooperation,"협력, 협동"
attendant,"수행원, 참석자"
competition,"경쟁, 경연"
appointment,약속
convenience,"편의, 편리"
midnight,자정
curiosity,호기심
skyscraper,고층건물
suicide,자살하다
chimney,굴뚝
bullet,총알
fence,울타리
backbone,"등뼈, 척추"
evidence,증거
descendant,"자손, 후예"
feature,"특징, 주연시키다"
collection,"수집, 소장품"
flavor,"맛, 맛을 내다"
desire,"바라다, 갈망하다"
leap,도약하다
export,수출하다
leak,새어나오다
stare,응시하다
scream,비명을 지르다
deceive,속이다
refresh,충전하다
commit,저지르다
occur,일어나다
twist,비틀다
obtain,얻다
decorate,장식하다
intend,의도하다
convert,전환하다
lower,낮추다
tend,~하는 경향이 있다
lean,기대다
firm,"단호한, 회사"
equal,"같은, 평등한"
senior,"손위의, 선배의"
separate,분리하다
major,주요한
hard-working,열심히 일하는
minor,"사소한, 소수의"
hopeless,희망 없는
individual,"개인, 개인의"
various,다양한
